Ref_Date,City,Province,Police Dept.,Type,Geographical classification,STATISTICS,Vector,Coordinate,Value
2013,Chesterfield Inlet, Nunavut, Royal Canadian Mounted Police, rural,62028,Crime severity index,v66461616,92.1,0
2013,Chestermere, Alberta, Royal Canadian Mounted Police, municipal,48005,Crime severity index,v65812469,523.9,41.48
2013,Chicoutimi, Quebec,, municipal,24061,Crime severity index,v65807117,77.9,..
2013,Chilliwack, British Columbia, Royal Canadian Mounted Police, municipal,59724,Crime severity index,v65813811,635.9,104.30
2013,Chisasibi, Quebec,, municipal,24375,Crime severity index,v65808893,225.9,..
2013,Churchbridge, Saskatchewan,, municipal,47100,Crime severity index,v65961906,721.9,..
2013,Ch�teauguay, Quebec,, municipal,24057,Crime severity index,v65807105,76.9,47.26
2013,Claresholm, Alberta, Royal Canadian Mounted Police, municipal,48814,Crime severity index,v65812997,567.9,..
2013,Clinton, Ontario, Ontario Provincial Police, municipal,35479,Crime severity index,v65811257,422.9,..
2013,Clyde River, Northwest Territories, Royal Canadian Mounted Police, rural,61700,Crime severity index,v66460758,21.1,..
2013,Clyde River, Nunavut, Royal Canadian Mounted Police, rural,62002,Crime severity index,v66461340,69.1,196.44
2013,Coaldale, Alberta,, municipal,48021,Crime severity index,v65812553,530.9,..
2013,Coaticook, Quebec,, municipal,24065,Crime severity index,v65807141,79.9,..
2013,Cobourg, Ontario,, municipal,35071,Crime severity index,v65809649,288.9,40.86
2013,Cochrane, Ontario, Ontario Provincial Police, municipal,35058,Crime severity index,v65809565,281.9,125.32
2013,Cochrane, Alberta, Royal Canadian Mounted Police, municipal,48900,Crime severity index,v65813309,593.9,54.29
2013,Codiac Regional, New Brunswick, Royal Canadian Mounted Police, municipal,13709,Crime severity index,v65806865,56.9,75.55
2013,Cold Lake, Alberta, Royal Canadian Mounted Police, municipal,48797,Crime severity index,v65812937,562.9,114.63
2013,Coldstream, British Columbia, Royal Canadian Mounted Police, municipal,59816,Crime severity index,v65814063,656.9,35.93
2013,Collines-de-l'Outaouais Region, Quebec,, municipal,24382,Crime severity index,v65808965,231.9,42.14
2013,Collingwood, Ontario, Ontario Provincial Police, municipal,35491,Crime severity index,v65811353,430.9,55.79
2013,Collingwood (rural), Ontario, Ontario Provincial Police, rural,35095,Crime severity index,v65809841,304.9,..
2013,Colwood, British Columbia, Royal Canadian Mounted Police, municipal,59819,Crime severity index,v65814099,659.9,34.96
2013,Comox, British Columbia, Royal Canadian Mounted Police, municipal,59926,Crime severity index,v65814339,679.9,33.81
2013,Coquitlam, British Columbia, Royal Canadian Mounted Police, municipal,59705,Crime severity index,v65813715,627.9,73.71
2013,Coral Harbour, Northwest Territories, Royal Canadian Mounted Police, rural,61789,Crime severity index,v66461274,64.1,..
2013,Coral Harbour, Nunavut, Royal Canadian Mounted Police, rural,62015,Crime severity index,v66461496,82.1,0
2013,Corman Park, Saskatchewan,, municipal,47101,Crime severity index,v65812025,486.9,..
2013,Corner Brook, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal,10502,Crime severity index,v65806229,3.9,86.49
2013,Cornwall, Ontario,, municipal,35076,Crime severity index,v65809685,291.9,87.54
2013,Cornwall, Prince Edward Island, Royal Canadian Mounted Police, municipal,11001,Crime severity index,v95715410,726.9,..
2013,Courtenay, British Columbia, Royal Canadian Mounted Police, municipal,59895,Crime severity index,v65814279,674.9,86.33
2013,Cowansville, Quebec,, municipal,24071,Crime severity index,v65807153,80.9,..
2013,Cranbrook, British Columbia, Royal Canadian Mounted Police, municipal,59792,Crime severity index,v65813991,650.9,84.39
2013,Creighton, Saskatchewan, Royal Canadian Mounted Police, municipal,47748,Crime severity index,v65812109,493.9,..
2013,Creston, British Columbia, Royal Canadian Mounted Police, municipal,59036,Crime severity index,v80750922,723.9,111.47
2013,Cudworth, Saskatchewan,, municipal,47089,Crime severity index,v65811977,482.9,..
2013,Dakota Ojibway Communities, Manitoba,, municipal,46070,Crime severity index,v65811581,449.9,639.46
2013,Dalmeny, Saskatchewan,, municipal,47091,Crime severity index,v65811989,483.9,15.63
2013,Dauphin, Manitoba, Royal Canadian Mounted Police, municipal,46753,Crime severity index,v65811665,456.9,215.12
2013,Dawson, Yukon, Royal Canadian Mounted Police, rural,60701,Crime severity index,v66460536,3.1,169.04
2013,Dawson Creek, British Columbia, Royal Canadian Mounted Police, municipal,59822,Crime severity index,v65814111,660.9,141.11
2013,Deep River, Ontario,, municipal,35078,Crime severity index,v65809709,293.9,23.88
2013,Deline, Northwest Territories, Royal Canadian Mounted Police, rural,61738,Crime severity index,v66460998,41.1,0
2013,Delta, British Columbia,, municipal,59004,Crime severity index,v65813453,605.9,56.85
2013,Deseronto, Ontario,, municipal,35082,Crime severity index,v65809733,295.9,..
2013,Deux-Montagnes Region, Quebec,, municipal,24258,Crime severity index,v65808353,180.9,42.41
2013,Devon, Alberta, Royal Canadian Mounted Police, municipal,48896,Crime severity index,v65813273,590.9,59.62
2013,Didsbury, Alberta, Royal Canadian Mounted Police, municipal,48874,Crime severity index,v65813153,580.9,..
2013,Digby, Nova Scotia, Royal Canadian Mounted Police, municipal,12711,Crime severity index,v65806529,28.9,..
2013,Dolbeau-mistassini, Quebec,, municipal,24078,Crime severity index,v65807177,82.9,..
2013,Donnacona, Quebec,, municipal,24081,Crime severity index,v65807189,83.9,..
2013,Drayton Valley, Alberta, Royal Canadian Mounted Police, municipal,48793,Crime severity index,v65812889,558.9,157.17
2013,Driftpile, Alberta,, municipal,48055,Crime severity index,v65961654,700.9,..
2013,Driftpile, Alberta,, municipal,48003,Crime severity index,v65812445,521.9,..
2013,Drumheller, Alberta, Royal Canadian Mounted Police, municipal,48715,Crime severity index,v65812697,542.9,118.07
2013,Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal,35039,Crime severity index,v65809373,265.9,..
2013,Drummondville, Quebec,, municipal,24084,Crime severity index,v65807201,84.9,..
2013,Dryden, Ontario,, municipal,35084,Crime severity index,v65809745,296.9,70.02
2013,Dryden (Machin), Ontario, Ontario Provincial Police, municipal,35184,Crime severity index,v65810621,369.9,..
2013,Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal,35160,Crime severity index,v65810393,350.9,24.03
2013,Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal,35129,Crime severity index,v65810129,328.9,28.85
2013,Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal,35161,Crime severity index,v65810405,351.9,32.65
2013,Dufferin (Mono), Ontario, Ontario Provincial Police, municipal,35026,Crime severity index,v65809229,253.9,25.82
2013,Dufferin (Mulmur), Ontario, Ontario Provincial Police, municipal,35163,Crime severity index,v65810429,353.9,27.13
2013,Duncan, British Columbia, Royal Canadian Mounted Police, municipal,59028,Crime severity index,v65813645,621.9,..
2013,Durham Region (Oshawa/Whitby/Ajax), Ontario,, municipal,35206,Crime severity index,v65810741,379.9,40.79
2013,Eagle Village (Kebaowek), Quebec,, municipal,24063,Crime severity index,v65807129,78.9,..
2013,East Algoma (Blind River), Ontario, Ontario Provincial Police, municipal,35050,Crime severity index,v65809505,276.9,100.56
2013,East Algoma (Bruce Mines), Ontario, Ontario Provincial Police, municipal,35168,Crime severity index,v65810477,357.9,..
2013,East Algoma (Elliot Lake), Ontario, Ontario Provincial Police, municipal,35143,Crime severity index,v65810261,339.9,63.61
2013,East Algoma (Johnson), Ontario, Ontario Provincial Police, municipal,35167,Crime severity index,v65810465,356.9,..
2013,East Algoma (North Shore), Ontario, Ontario Provincial Police, municipal,35054,Crime severity index,v65809529,278.9,..
2013,East Algoma (Spanish), Ontario, Ontario Provincial Police, municipal,35053,Crime severity index,v65809517,277.9,..
2013,East Algoma (Thessalon), Ontario, Ontario Provincial Police, municipal,35057,Crime severity index,v65809553,280.9,45.53
2013,East Angus, Quebec,, municipal,24087,Crime severity index,v65807213,85.9,..
2013,East Nipissing group of three, Ontario, Ontario Provincial Police, municipal,35061,Crime severity index,v65961558,692.9,..
2013,East Perth, Ontario, Ontario Provincial Police, municipal,35488,Crime severity index,v65811329,428.9,..
2013,East St. Paul, Manitoba,, municipal,46065,Crime severity index,v65811557,447.9,..
2013,East Zorra/Tavistock, Ontario, Ontario Provincial Police, municipal,35189,Crime severity index,v65810657,372.9,30.05
2013,Eastmain, Quebec,, municipal,24199,Crime severity index,v65807933,145.9,..
2013,Edmonton, Alberta,, municipal,48033,Crime severity index,v65812565,531.9,93.34
2013,Edmundston, New Brunswick,, municipal,13006,Crime severity index,v65806661,39.9,58.23
2013,Edson, Alberta, Royal Canadian Mounted Police, municipal,48747,Crime severity index,v65812757,547.9,121.50
2013,Eeyou Eenou Cree Region, Quebec,, municipal,24293,Crime severity index,v65808557,197.9,163.90
2013,Elgin County, Ontario, Ontario Provincial Police, municipal,35105,Crime severity index,v65809925,311.9,30.69
2013,Elliot Lake, Ontario,, municipal,35411,Crime severity index,v65811137,412.9,..
2013,Eskasoni, Nova Scotia,, municipal,12065,Crime severity index,v65806517,27.9,..
2013,Espanola, Ontario,, municipal,35098,Crime severity index,v65809865,306.9,56.03
2013,Esquimalt, British Columbia,, municipal,59005,Crime severity index,v65813465,606.9,..
2013,Essex, Ontario, Ontario Provincial Police, municipal,35101,Crime severity index,v65809901,309.9,30.92
