Ref_Date,GEO,Geographical classification,STA,Vector,Coordinate,Value
2001,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,19.43
2002,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-11.05
2003,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-5.84
2004,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-6.56
2005,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-26.39
2006,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,68.92
2007,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-15.99
2008,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,0.22
2009,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,62.88
2010,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-33.94
2011,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-46.88
2012,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,54.25
2013,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,-39.62
2014,Yukon,60,Percent change in youth violent crime severity index,v66460515,1.1,103.52
1998,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,380.79
1999,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,293.35
2000,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,427.13
2001,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,415.06
2002,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,439.66
2003,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,389.2
2004,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,315.75
2005,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,384.06
2006,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,335.83
2007,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,402.97
2008,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,324.8
2009,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,325.92
2010,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,273.67
2011,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,182.41
2012,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,197.88
2013,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,251.4
2014,Yukon,60,Youth non-violent crime severity index,v66460516,1.11,207.08
1998,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,0
1999,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-22.96
2000,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,45.6
2001,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-2.83
2002,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,5.93
2003,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-11.48
2004,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-18.87
2005,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,21.63
2006,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-12.56
2007,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,19.99
2008,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-19.4
2009,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,0.34
2010,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-16.03
2011,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-33.35
2012,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,8.48
2013,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,27.05
2014,Yukon,60,Percent change in youth non-violent crime severity index,v66460517,1.12,-17.63
1998,Yukon,60,Weighted clearance rate (number),v66460518,1.13,46.51
1999,Yukon,60,Weighted clearance rate (number),v66460518,1.13,48.35
2000,Yukon,60,Weighted clearance rate (number),v66460518,1.13,42.33
2001,Yukon,60,Weighted clearance rate (number),v66460518,1.13,44.16
2002,Yukon,60,Weighted clearance rate (number),v66460518,1.13,40.22
2003,Yukon,60,Weighted clearance rate (number),v66460518,1.13,41.42
2004,Yukon,60,Weighted clearance rate (number),v66460518,1.13,53.93
2005,Yukon,60,Weighted clearance rate (number),v66460518,1.13,51.98
2006,Yukon,60,Weighted clearance rate (number),v66460518,1.13,54.92
2007,Yukon,60,Weighted clearance rate (number),v66460518,1.13,56.61
2008,Yukon,60,Weighted clearance rate (number),v66460518,1.13,61.85
2009,Yukon,60,Weighted clearance rate (number),v66460518,1.13,65.35
2010,Yukon,60,Weighted clearance rate (number),v66460518,1.13,59.38
2011,Yukon,60,Weighted clearance rate (number),v66460518,1.13,61.51
2012,Yukon,60,Weighted clearance rate (number),v66460518,1.13,56.61
2013,Yukon,60,Weighted clearance rate (number),v66460518,1.13,55.5
2014,Yukon,60,Weighted clearance rate (number),v66460518,1.13,53.12
1998,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,0
1999,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,3.96
2000,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-12.45
2001,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,4.32
2002,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-8.92
2003,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,2.98
2004,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,30.2
2005,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-3.62
2006,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,5.66
2007,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,3.08
2008,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,9.26
2009,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,5.66
2010,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-9.14
2011,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,3.59
2012,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-7.97
2013,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-1.96
2014,Yukon,60,Percent change in weighted clearance rate,v66460519,1.14,-4.29
1998,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,68.86
1999,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,71.08
2000,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,70.42
2001,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,62.53
2002,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,63.64
2003,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,63.31
2004,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,83.91
2005,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,73.71
2006,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,78.58
2007,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,68.69
2008,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,86.16
2009,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,88.08
2010,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,75.33
2011,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,82.68
2012,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,76.13
2013,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,74.11
2014,Yukon,60,Violent weighted clearance rate (number),v66460520,1.15,65.8
1998,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,0
1999,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,3.22
2000,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-0.93
2001,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-11.2
2002,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,1.78
2003,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-0.52
2004,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,32.54
2005,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-12.16
2006,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,6.61
2007,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-12.59
2008,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,25.43
2009,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,2.23
2010,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-14.48
2011,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,9.76
2012,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-7.92
2013,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-2.65
2014,Yukon,60,Percent change in violent weighted clearance rate,v66460521,1.16,-11.21
1998,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,38.53
1999,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,39.52
2000,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,32.35
2001,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,37.33
2002,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,32.54
2003,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,33.83
2004,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,38.96
2005,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,45.4
2006,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,47.31
